"","date","hour","crime","long","lat"
"7","2003-05-03","13:00:00","VIOLACION",-99.2385489368,19.336320885
"11","2003-08-29",NA,"VIOLACION",-99.240623293943,19.3637155013768
"17","2003-12-12","12:00:00","VIOLACION",-99.240727841561,19.3521474909968
"36","2004-12-27","11:00:00","VIOLACION",-99.2080803104185,19.3871989341633
"41","2005-03-31","12:00:00","ROBO DE VEHICULO AUTOMOTOR S.V.",-99.15881,19.38055
"42","2005-04-15","15:00:00","VIOLACION",-99.2577622169409,19.3237470885204
"45","2005-06-15","12:00:00","VIOLACION",-99.2421585461,19.3503855601
"59","2006-06-15","04:00:00","VIOLACION",-99.1769507076106,19.3802643866242
"73","2007-01-01","12:00:00","VIOLACION",-99.1631425538643,19.3847722606539
"119","2008-06-08","23:30:00","ROBO DE VEHICULO AUTOMOTOR C.V.",-99.15767,19.38789
"125","2008-07-31","14:00:00","VIOLACION",-99.2398515535026,19.3800507442192
"142","2009-05-01","18:00:00","VIOLACION",-99.2150705481776,19.36150617282
"147","2009-07-01","22:30:00","VIOLACION",-99.1327995510144,19.3971855191321
"153","2009-08-05","16:00:00","VIOLACION",-99.1654479163157,19.3871915039965
"158","2009-08-28","17:00:00","VIOLACION",-99.2181868200464,19.3946346674081
"160","2009-09-07","21:45:00","VIOLACION",-99.1751541517,19.3580457055
"183","2010-02-08","18:30:00","VIOLACION",-99.1946375215,19.3961101976
"230","2010-09-03","22:00:00","ROBO DE VEHICULO AUTOMOTOR S.V.",-99.14992,19.37702
"233","2010-09-26","15:30:00","ROBO A TRANSEUNTE C.V.",-99.18354,19.39543
"251","2011-01-01","16:00:00","VIOLACION",-99.1455300686396,19.3705970813224
"260","2011-03-14","03:00:00","ROBO A NEGOCIO C.V.",-99.20768,19.30703
"266","2011-04-01","12:00:00","VIOLACION",-99.1953234829849,19.3998594254694
"270","2011-05-05","08:45:00","ROBO DE VEHICULO AUTOMOTOR S.V.",-99.15866,19.36722
"281","2011-07-01","15:00:00","VIOLACION",-99.2698665677,19.3163542559
"282","2011-07-06","11:15:00","ROBO DE VEHICULO AUTOMOTOR S.V.",-99.20171,19.30994
"293","2011-10-10","18:00:00","VIOLACION",-99.2674666024664,19.3167306454905
"300","2011-11-13","12:00:00","VIOLACION",-99.2230343824,19.381472024
"306","2011-12-01","12:00:00","VIOLACION",-99.1391698118188,19.3997192598867
"345","2012-05-16","14:45:00","ROBO A TRANSEUNTE C.V.",-99.20721,19.38917
"346","2012-06-01","10:00:00","VIOLACION",-99.229964890991,19.3389968544878
"347","2012-06-01","10:00:00","VIOLACION",-99.2034520941,19.3374211116
"350","2012-06-19","16:30:00","ROBO A TRANSEUNTE C.V.",-99.24571,19.37651
"364","2012-09-04","09:01:00","ROBO A REPARTIDOR C.V.",-99.22391,19.37827
"367","2012-09-08","18:00:00","VIOLACION",-99.1748369807846,19.3580644042486
"368","2012-09-12","21:00:00","ROBO DE VEHICULO AUTOMOTOR S.V.",-99.1912139702805,19.3493181380814
"394","2013-01-01","09:00:00","VIOLACION",-99.2659661738596,19.313898200533
